"OPTY_ID_15","OPTY_NM","OPTY_TYP","OPTY_SRC_NM","OPTY_AGE","OPTY_BAND","LEAD_SRC_NM","WON_FLG","LEAD_SL_PRTNR_ROLE","PRTNR_REGN_NEW","PRTNR_TYP_DESC","PRIM_PROD_INT","INIT_PROD_INT","INDUSTRY_NM","EMP_BAND","ACCT_OWN_REGN_NM","ACCT_TYP","SEG_CD"
1P0TVQP3,YST92F9XTB5H9P216RIE5B141Z4ER9GGLUJO02LI46J9J792B6MQX6Y9XKI495XTPA4YV42AJKU7JJIF5R2EZS4DTO4,"Add-On Business","BDR",349,"(04) $100K - $150K","EBR Generated","N",,,,"Work.com",,"Financial Services","10001+ ","AMER","Unlimited Customer","Top"
VSCOHFPGZ,52ZFWAHPQ7A03QDZ5YAE3XEARX0Z4XC8AZ64DERCYDFORI1UPQHSC75PZC3GW56GP6QGP7WIK9C0WHS2NZGWWZ9DAJM89PB0F69MSFF540K65X,"New Business","BDR",,"(04) $100K - $150K","Partner Referral","N","Sourced Lead","EMEA","Consulting Partner","Work.com","Work.com","Public Sector","5001-10000","EMEA","Unlimited Customer","Large"
DC4QFYZWCG9ZBK,S7HVL5TXZWDTNYVZP0K7N5JLP7DUTKJ4H1EE4YHBCCQ34NX3PX5DE11JQ01H0GAWK66GGO,"Add-On Business","Cloud Sales",,"(04) $100K - $150K",,"N",,,,"Work.com",,"Engineering, Construction, & Real Estate","5001-10000","AMER","Enterprise Customer","Medium"
AWAPVXKET,6JGMNO8Z5QVPDBO7BTN2PM8EVTLS9S5ZO3NBIIFPIFA9A,"New Business","AE",,"(05) $150K - $250K","Salesforce AE","N",,,,"Work.com",,"Financial Services","5001-10000","LACA",,"Very Small"
08GIK,859FF2BRHVW2,"New Business","Alliances",105,"(05) $150K - $250K","Partner","N",,,,"Work.com","Work.com","Retail & CG","5001-10000","AMER",,"Very Small"
J4,S36VQZGGJPDJC6UB5PZ9H3Z8VLAZW7HSRBTXX74HI0,"New Business","AE",1309,"(11) >$10M+","Partner Referral","N","Sourced Lead","AMER","Consulting Partner;ISVforce",,"Work.com","High Tech","46-200","AMER","Enterprise Customer","Very Small"
O97,BRSWJRDPW4TH82MN9D9HTZAHTAMIHKGXG5F2,"Add-On Business","BDR",,"(03) $50K - $100K","Other","N","No Partner","AMER",,"Work.com","Service Cloud","Healthcare & Life Sciences","501-1000","AMER","Enterprise Customer","Very Small"
UFAKI1K34,Y67RB9SQFXNWCIUWGGMEQD72UV0ERAVVJE5D40SER6RA23CZTKLYBX2PIOLPHR9RZ4PAXBUJ9D4CEH9OAY,"New Business","AE",,"(04) $100K - $150K","AE Generated - Create Account","N",,,,"Work.com",,"Communications & Media","5001-10000","AMER","Enterprise Customer","N/A"
YN7PIMSAPYRT10,06DZEEVK7OVHV9WLYWQP8EDU3Z82C5D96URLY8X8FC2ICJIR87UCGNUTGL0,"New Business","AE",,"(05) $150K - $250K","AE Generated - Create Account","N","No Partner","AMER",,"Work.com",,"Travel, Transportation, & Hospitality","10001+ ","AMER","Enterprise Customer","Top"
3I8ZOEC,XI5X6EHC2FDDOD9XIKNBZCSWCCKAQAHLADNI3FVMUZLCFN7SE6TDHCNYIXPJ9J1P7NBW7F1VF4R9C28QCN4M,"New Business","AE",,"(04) $100K - $150K",,"N",,,,"Work.com",,"Financial Services","501-1000","AMER",,"Medium"
A7YJTEDA4,XNLEREWMUEJLMM6XRXO9XQ1Y5Z4LSJC9OBS4G94JJKPFD3II4QWWZ19X0X3FGE5K75EA1RBJV4K,"Add-On Business","AE",105,"(01) <=$25K","Cold Call","N",,,,"Work.com","Work.com","Healthcare & Life Sciences","46-200","AMER","Enterprise Customer","Medium"
R46848R,4MPZZCO8,"Add-On Business","Alliances",124,"(11) >$10M+","Partner Referral","N","Sourced Lead","AMER","Consulting Partner;Force.com Reseller;Content Syndication",,"Work.com","Manufacturing","2501-5000","AMER","Unlimited Customer","Top"
L22DO0P8UG3Y3,UBVGU3KE275LWZ0O3T73C3Y1JTNG6MX85,"Add-On Business","AE",346,"(01) <=$25K","Inbound Call","Y",,,,"Work.com","Work.com","High Tech","46-200","AMER","Performance Edition","Large"
YL378JP1ZNY1E2M,OKGFLFD23DL7HRCV0NJ9KTYD491CCM20DYAJTOZH1TPC0S9ZM61KZFS7WN3V7,"New Business","SDR",,"(01) <=$25K","Website","N","Joint Sales","EMEA","Consulting Partner;Content Syndication","Work.com","Sales","Engineering, Construction, & Real Estate","1-20","EMEA",,
2XQ1DXWGJCI,Q71WGNZPTT43KXODQQ9SEYAGVPF6C1WLBG4S0NMOFH3XR1Q4R7K0C6ETV46ME39R9R6MCB3WFDLR2XHDXIK9SNQSDGKAWGMA,"Add-On Business","AE",1584,"(01) <=$25K","Salesforce AE","N",,,,"Work.com",,"High Tech","21-45","EMEA",,"Small"
X12,AOP2S5NMBLGBSB2HB6A6Q8ZK2VN8C86D7BZMJMC63VJ0J1,"Add-On Business","BDR",,"(02) $25K - $50K","Salesforce AE","N",,,,"Work.com",,"Healthcare & Life Sciences","201-500","AMER","Unlimited Customer","Small"
PAN6TTK41CW,GJUFQ32M78MTP816LTEQYREI29PYQHXLVXI7MAQWJMRKQPU11KFNSAB2G31OBRSQ2FWBV2PGCU,"Add-On Business","BDR",,"(02) $25K - $50K",,"N",,,,"Work.com",,"Manufacturing","5001-10000","AMER","Unlimited Customer","Top"
E04524,J61UE9CW5Z767MIU,"Add-On Business","AE",,"(01) <=$25K",,"N",,,,"Work.com",,"Manufacturing","46-200","AMER",,"Small"
NJBEJ,2MAS5HACOBIDY5B36SSZQNHK4VN7SRR8J9XXWPSIEIWWKFLR895KHK884CGRLZ73038M6OLOAOZFFJBHUJHM9FNM4NSQIX80SB1MCPAOLH1J06,"New Business","AE",,"(05) $150K - $250K","Other","N",,,,"Work.com",,"Other","501-1000","AMER",,
JLTDZ7Q,2SVCUN74AX4EZRPW9GQWI8FNMRK6UV24GQ1,"Add-On Business","BDR",,"(02) $25K - $50K","AE Generated - Create Account","N",,,,"Work.com",,"Healthcare & Life Sciences","5001-10000","EMEA","Unlimited Customer","Large"
6QZH,WOG45XWKP1E8EWPFW4YDGB2Z15IE9HQ1XR7NJ27L5NY6SUQPUQC3GUHJUU9RM3CI83B6OYEFZO8JM3MP79TJLUXKC414J6BI1HLYF,"New Business","AE",,"(04) $100K - $150K",,"N","No Partner","AMER","ISV Partner","Work.com",,"Other","1501-2500","AMER","Enterprise Customer","Large"
N4RK8MCV6U7M,QGWP4ELETRT9L9F21OUG17ZAGNG5XF7WMDF6BS0B6HSBZXC3XVP0YD9WFUC3NFEO7600OP1BKY873SOGV5TWC,"New Business","AE",,"(08) $1M - $3M","AE Generated - Create Account","N",,,,"Work.com",,"Communications & Media","10001+ ","AMER","Unlimited Customer","Medium"
ME168I,TWLLNGJ17HDGJADQBBKUAH1BGOKTPL,"New Business","EBR (Mktg Infl)",92,"(01) <=$25K","Salesforce AE","N",,,,"Work.com","Work.com","Engineering, Construction, & Real Estate","501-1000","EMEA",,"N/A"
GNI1JEN,INDGSQ18CEIG1QV8NDM7SOT151C7KBB0DCCROCD3O4GPZDLJX7I1YWMCOIEAGU7QZT8R05S1ND,"New Business","AE",,"(04) $100K - $150K","Salesforce AE","N",,,,"Work.com",,"Financial Services","2501-5000","AMER","Developer Customer","N/A"
SZTU6GT,TAI5F7GWFAWD0HBPKNOA2368HLH97HPSBJX5JQJ68SGOPZZIEJR878GJRTK5BY1KPBFVPZCYDN6887R5YBKQ4LXAP,"New Business","EBR",40,"(01) <=$25K","Customer/Other Referral","N","Internal Use License","EMEA","Consulting Partner;GSI","Work.com",,"Professional Services","10001+ ","EMEA",,"Very Small"
0,LGSW164YT8YNQHS2B5Z4JQA,"Add-On Business","AE",148,"(01) <=$25K","Cold Call","N",,,,"Work.com","Work.com","Healthcare & Life Sciences","46-200","AMER","Enterprise Customer","Medium"
I2PN3,MQRS8J3OZHYAH042V1PBJSC3FIMX1S86TKARR457XHEURJT584SLQ48T543NMNTGK0KUOO1K,"New Business","AE",,"(05) $150K - $250K","AE Generated - Create Account","N",,,,"Work.com",,"Communications & Media","1-20","APAC","Enterprise Customer","Large"
7DNY1UQN,MJ0WEG4HPECDRZ4CDMPWV3AP39R6DSTA0JZ893CXBTTIVB0VN098F9FDTMMOOKDD29MMTYA7FX0W0SQ7IJ2OXEGQEAWCPVES8GMY9CH8,"New Business","AE",,"(06) $250K - $500K","Salesforce AE","N",,,,"Work.com",,"Healthcare & Life Sciences","5001-10000","AMER","Unlimited Customer","Medium"
B2SX8ICJODSA4,QOS7JVKDJX3U1GSWQW3GBW3XZUHM24QOIO,"New Business","AE",,"(02) $25K - $50K","Cold Call","N",,,,"Work.com",,"Manufacturing","5001-10000","EMEA","Enterprise Customer",
94XKJM,3JD92LKSBMN9HI31B3WOBCT5N0EA4ZF01781DYL77N0QAVFQZNS52U2V4SRCOKFHRQGBB7SN6SE2C8MJDDJVP0IK473U41XZJESZQBANA79948XA8Q5C,"New Business","AE",1121,"(03) $50K - $100K","Salesforce AE","N",,,,"Work.com","Work.com","Public Sector","10001+ ","AMER","Group Customer","Flagship"
9TVGN8,V52HURIYQCHL8PVKJYO89YC9ZRJ61BTM8QD5X6TFAEN2,"Add-On Business","AE",,"(02) $25K - $50K","AE Generated - Create Account","N",,,,"Work.com",,"Travel, Transportation, & Hospitality","201-500","EMEA","Enterprise Customer","Medium"
C8,89DW2KU55G4575ZJXK5LVVN4H7PE1FK8S7P92YIBOV06RH4HKSD91ZZCN0X01HI3MEAV2T,"New Business","AE (Mktg Infl)",1194,"(01) <=$25K","Software Advice","N",,,,"Work.com",,"Professional Services","501-1000","AMER","Enterprise Customer","Medium"
WC,OCPIJX85UA0HOYQK30SGF4,"New Business","AE",,"(08) $1M - $3M","AE Generated - Create Account","N",,,,"Work.com",,"Public Sector","10001+ ","AMER","Group Customer","Large"
V8O0KFW,NRPGX55XWZJX053LTNN9KVHHX429YHQGKB5DS8Y4PL5QJGXKUF2MYRB0FAWIBYFVFG3NEF2CB5F9C8PMAG8BEI6QVFPNB,"Add-On Business","AE",1504,"(02) $25K - $50K","EBR Generated","N",,,,"Work.com",,"Financial Services","2501-5000","AMER","Unlimited Customer","Top"
QQ8S3MG,ZE5NRAE5K2QL1X015DB18M3E9SMXAQDDPNLTIPD08M64UOOHVE0RRH6WY70O5JQR5OPNSU8T5HBWU1VPAAS,"Add-On Business","Marketing",120,"(01) <=$25K","Other","N",,,,,"Work.com","Engineering, Construction, & Real Estate","1001-1500","LACA",,"Very Small"
KP,MHCYSQCPTXX9BYU91YC060LFE4GVF3NN6NACB1RHWC8Z0UVTOZ88ZH2YL585S14K1790L3U9AJ6K2IH6TCUC3E8A6IYGPKXGEUEGX9GJTR40XWSZX4O6X,"Add-On Business","AE",1007,"(01) <=$25K","CFL","N",,,,"Work.com","Platform (Site.com)","Communications & Media","10001+ ","AMER",,"N/A"
H2F8RG,BEF79DMPJXSEQ9CK2FERHP9SEM,"Add-On Business","BDR",,"(03) $50K - $100K","EBR Generated","N","Joint Sales","EMEA","Consulting Partner","Work.com",,"Travel, Transportation, & Hospitality","2501-5000","AMER","Unlimited Customer","Top"
JM9V9AVOXP,5HZ9P0F9FSEF0BO3ISZHO04FQA51UKP0ZVAQ8D2Y9IEHDJEX1YY5IR0Y8LC2GAUWB29V7VJC11Q07TQ3V2BRT7NAKILT3,"New Business","AE",,"(01) <=$25K","AE Generated - Create Account","N",,,,"Work.com",,"Manufacturing","2501-5000","EMEA","Enterprise Customer","Top"
3,YJU7HRCXUM4ERJOL6FVZ0UQA3S2IKCE42HVER82P87MBGCPH93DYFOV86ULJJ,"Add-On Business","AE",46,"(11) >$10M+","CSM","N",,,,"Work.com",,"Agriculture & Mining","10001+ ","AMER","Unlimited Customer","Flagship"
FUDI,D5VI36CLR17VMGBLGFL89XHVSWE5RDQQGX1CZ81Q4DTVSRGHKXQOO8IC86JD4K8WDRRG06OCZ5SQ6C,"Add-On Business","AE (Mktg Infl)",326,"(01) <=$25K",,"N",,,,"Work.com","Work.com","Financial Services","501-1000","AMER","Unlimited Customer","Top"
Z6Y26KK,MVJQLAFPCMPMCDNYH5HCQ71B,"New Business","BDR",,"(05) $150K - $250K","AE Generated - Create Account","N",,,,"Work.com",,"Retail & CG","10001+ ","AMER","Unlimited Customer","Top"
061DW6GX5U,UNI8YQ1XRV7GPQUYDU538IODNRMSFLL,"New Business","AE",,"(06) $250K - $500K","Cold Call","N",,,,"Work.com",,"Financial Services","5001-10000","AMER","Unlimited Customer","Flagship"
0,6MHZLNVSLL5UOHHRFEFUVRR01,"Add-On Business","BDR",,"(04) $100K - $150K",,"N","No Partner","AMER","Consulting Partner","Work.com",,"High Tech","5001-10000","LACA","Group Customer","Medium"
I8AY6HXXVUBQPX6,LQRZIG7RGZ7OCTTU0MYTZQGS35PA1K9D2TS7DNXW5J0D6Z127PYRVH8LSHF6VQ6AGKMU0EFTIJX914,"Courtesy","ECS",,"(01) <=$25K","Sales Generated","N",,,,"Work.com","Work.com","High Tech","46-200","APAC","Unlimited Customer","Very Small"
2ZSQGZAZ3SAHW,YAEFCJIGTYCEXXT052HKE4HMD2QBT8RW7LIM534RYMEKJHJM44VIHAM8ZM39E,"Add-On Business","AE",687,"(01) <=$25K","Cold Call","Y",,,,"Work.com","Work.com","Healthcare & Life Sciences","46-200","AMER","Enterprise Customer","Medium"
J,KURXS21MBBRVKB9DH5QID1RGRLUWYZYW0XMCHYPTS7RX77BDA3VD4VG3SHDAWBFGTV9QK3B,"New Business","BDR",,"(05) $150K - $250K","AE Generated - Create Account","N",,,,"Work.com",,"Professional Services","5001-10000","EMEA","Unlimited Customer","Small"
G9XKR8YU8OK,JWFSO280DIQX7KQ00E43GVOZAAFPXUAYA2Y3Y641YO0IZF56NN6R17FB0WXQE2FPRMVMZ6P,"New Business","AE",,"(04) $100K - $150K","AE Generated - Create Account","N",,,,"Work.com",,"Manufacturing","1-20","AMER","Enterprise Customer","Medium"
TM94WA3WV,B2NM6LUTW44JPFTEZ7Z5V8508P3482JE03Z8VICNA1O2Q5I3PXUETGUTVMVOS3U7EI2ZF684CUUV49W2HN1BLFKWMJ92KKUR95D1D,"Add-On Business","AE",,"(06) $250K - $500K","Salesforce AE","N",,,,"Work.com",,"Healthcare & Life Sciences","10001+ ","AMER","Unlimited Customer","Top"
CZRRJZ50E18A4QB,4EEJ91D8XF76L9LM1YZJ6Y0WR43IWPTYZ6PCDTGJ6AVH8BVFFQEBBN82GAYK4IAFVZ2M6189EBILNB5G0JBAT252FD,"Add-On Business","AE",21,"(02) $25K - $50K","EBR Generated","N",,,,"Work.com","Work.com","High Tech","5001-10000","AMER","Unlimited Customer","Mega"
NWO7F1QIOQYPEN,HEHOQSESSUCTKIZI2F3JCJC4NN3TKYQUO0G5J1T56GKW9GJW4Z8VAUWGNG6CRK1HEX,"Add-On Business","AE",179,"(01) <=$25K","CFL","N",,,,"Work.com","Work.com","Communications & Media","501-1000","AMER",,"Large"
CWYN,QNDKT1WQGXZDWJ1MXPEBTU3A6C43Q,"Add-On Business","AE",254,"(03) $50K - $100K","Trade Show / Events","N",,,,"Work.com","Work.com","High Tech","1-20","AMER","Performance Edition","Small"
9U1BQR9P8RJ,2AUF7YFNNTHIFCWEERJJ2S0F4G6ATRJ1OLX0ZY7M0PJDD2LMMO3TPBWQMW64UWVFAAXBE7,"New Business","BDR",,"(06) $250K - $500K",,"N",,,,"Work.com",,"Healthcare & Life Sciences","10001+ ","AMER","Unlimited Customer","Large"
AAIZSNAQEA5R7,9SBS8TGYGW884OWGERSWP7GZR7M8R6UM95ZEGA1JWV4X1AZC5LWHDSZPRUOL3C7VI0HQYFLFNZPZHR2VEUQAZ8ZIWIDBVJ08DNYN837HNDM2QRH31FWN,"New Business","AE",133,"(03) $50K - $100K","AE Generated - Create Account","N",,,,"Work.com","Work.com","High Tech","501-1000","AMER","Enterprise Customer","Large"
F,TK51U6QT6ZD3S5HYMHMW59IL6F456ERPR4QBCEUDMJCOMWAONVTVV4,"New Business","AE",,"(03) $50K - $100K","Salesforce AE","N",,,,"Work.com",,"Retail & CG","2501-5000","EMEA","Enterprise Customer","Top"
UT,FAE3QUCBCYO5X4AIC7S0SAOE2IK71Z1F1MI3HH5FBVQUWN7DEXU7Q7X2YLU68,"Add-On Business","AE",,"(02) $25K - $50K",,"N","No Partner","AMER",,"Work.com",,"Healthcare & Life Sciences","501-1000","EMEA","Enterprise Customer","Large"
N15987P0XSY5P8I,S5CMN22AZ6KSVSX71UR6F7JUHLHKII50897OZ8DAMTTF7K,"New Business","ECS",59,"(05) $150K - $250K",,"N",,,,"Work.com",,"Financial Services","5001-10000","AMER","Performance Edition","Mega"
AU8M4J52,VV7XI21OCVN1V3LQ82EHX9OJTDMB1C6VWLPIFN66PTXSENOYY7KPKGQHQBN0389WQDAF779N94IQHMV1M0MWFGOF7DB424UB1A3CFIJ8ZKF0GL8FD,"Add-On Business","BDR",,"(04) $100K - $150K",,"N",,,,"Work.com",,"Healthcare & Life Sciences","201-500","AMER",,"Medium"
8I0BDGK,D6B2Y,"Add-On Business","AE",,"(11) >$10M+","AE Generated - Create Account","N",,,,"Work.com",,"Healthcare & Life Sciences","501-1000","AMER","Unlimited Customer","Large"
DZO,UY5TGW04XVR8222GP0Z5AGAT74E0,"New Business","AE",,"(05) $150K - $250K","AE Generated - Create Account","N",,,,"Work.com",,"Travel, Transportation, & Hospitality","10001+ ","AMER","Enterprise Customer","Top"
V5U,7BSLXF36XJ0228W7RSUEXY9NANMMR07R9O8IAN69SQH2TBHF5N0JHYZONT9ZZD,"Add-On Business","AE",,"(03) $50K - $100K",,"N","No Partner","AMER","Consulting Partner","Work.com",,"Retail & CG","501-1000","AMER","Enterprise Customer",
ZX5DDS6D,JFG93RLDGN8FA10BGDY0YTB9612KNV8KG5ZD6N8ALUO4V8PCXW0Y006KUEXARW11WYLY7X7GJFYB,"Add-On Business","ECS",,"(05) $150K - $250K",,"N",,,,"Work.com",,"Healthcare & Life Sciences","5001-10000","AMER",,"Top"
KBRBNAKYGJ,9O9KGXW3NDQVLNBRZS4KVXDZO5XUXOAR11HU8BPJSYG2HJSFCTX6C6HW1LL7D58BY7AKK,,"Alliances",0,"(11) >$10M+","Partner Referral","N","Sourced Lead","AMER","Consulting Partner;Force.com Reseller;Content Syndication",,"Work.com","Manufacturing","2501-5000","AMER","Unlimited Customer","Top"
V,3LUFK2B7AI4A4,"New Business","BDR",668,"(07) $500K - $1M",,"N",,,,"Work.com",,"High Tech","10001+ ","AMER",,
S10I05RDH7J46,N6FUMF6IVBNJURORGVWO1YOQFO8DY78QKLDNPHX,"New Business","BDR",,"(01) <=$25K","Salesforce AE","N",,,,"Work.com",,"Healthcare & Life Sciences","46-200","AMER",,
Z63LDWYG0TWL,0U51LNO3MZRV5Z7ZUAJHWW4TVLDKVP1EJ7TTN83A,"Add-On Business","BDR",,"(03) $50K - $100K","Salesforce AE","N",,,,"Work.com",,"Financial Services","1001-1500","APAC","Unlimited Customer","Top"
4ZY9192M,LRDRQU4Y2ZI0DN0DV5233W4S2A4MTKF2NLMHECIXGUR6O4M2GAL4V87KTRHNLM1LJBQYCGQFBREMV64TH1VBLQWI0DRU2Y6DH8TKR,"New Business","AE",,"(01) <=$25K",,"N",,,,"Work.com",,"Retail & CG","46-200","AMER",,"Very Small"
K,R1D7D6X8DXXSO0RRHH,"Add-On Business","AE",,"(07) $500K - $1M","Partner Referral","N","Sourced Lead","LACA","Consulting Partner;Force.com Reseller;Content Syndication;CRM Reseller","Work.com","Work.com","Retail & CG","2501-5000","LACA","Enterprise Customer","Large"
QZQ67ZD4N,BYTV5V8Q5UK710ILGWNIY6KBDJ8NFWDULVA3RJOMHA5HAIIH10BIIHU7KPMLU1JL84IYGWR9FZXCNMMQXL9A953,"New Business","AE",,"(11) >$10M+",,"N",,,,"Work.com",,"Retail & CG","5001-10000","AMER",,"N/A"
UUZTCDAF6GJCW,MHG39ZG1M628X578VFV3V5BJC6V,"New Business","Alliances",1,"(01) <=$25K","Partner Referral","N","Sourced Lead","APAC",,,"Work.com","Professional Services","21-45","APAC",,
2QX5K,N5SIG35TW0MSP30XVTXE33CNRF2PKCVGEOHNSFSPCRDEUUZ4RNSBQLB01ITSU4IUD7DCX01P3Y,"New Business","AE",286,"(01) <=$25K","EBR Generated","N",,,,"Work.com",,"High Tech","5001-10000","AMER","Unlimited Customer","Mega"
9UOYQ1M4,0N1D6AEJILMBHV3GUQOOXG,"Add-On Business","Alliances",262,"(01) <=$25K","Partner Referral","Y","Sourced Lead","AMER","Consulting Partner;GPA",,"Work.com","Professional Services","46-200","AMER","Enterprise Customer","Small"
GA8D61S3ID,U87F47EPUVI4XVCGOD3XYPU0AO3BQ0H85HKXVR6ZMEB5VC0EOFPR3DCDX03NDNCXZU9GN0,"Add-On Business","AE",,"(05) $150K - $250K","Salesforce AE","N","No Partner","AMER","ISV Partner","Work.com",,"Engineering, Construction, & Real Estate","2501-5000","AMER","Enterprise Customer","Large"
0XMG1HD5UJZF7,W2HMM1GORRZMNNEIXBAHOOSQSNM7GVEC0RTGI3PZEJHAHEXZYWPWAUW5Z7F1N3DG688DFQWDZYSH4SAAO6SVHELEV6LN4,"Add-On Business","SDR",,"(01) <=$25K","Inbound Call","N",,,,"Work.com",,"Communications & Media","1-20","AMER","Professional Customer","Very Small"
QWO9161MR568,YSXRQ,"Add-On Business","AE",,"(05) $150K - $250K","Salesforce AE","N","Sourced Lead","EMEA","Consulting Partner","Work.com",,"Financial Services","1001-1500","EMEA","Unlimited Customer","Large"
82SY5,K7HW1LEV3DVKO3039YGEJ05D18DJYZT4WI7WBUTF4CWODJRGHV4PZ543X0P183O84WIDV4EMP9PYTNEDD25,"New Business","BDR",,"(01) <=$25K","Cold Call","N",,,,"Work.com",,"Travel, Transportation, & Hospitality","5001-10000","AMER",,"N/A"
ZDUQU8,OD77I0O4ZPMC1MJP6ERD00209R87QZTRHD7JSLQOYCWHATQECVEE,"New Business","AE",,"(04) $100K - $150K",,"N","Joint Sales","AMER","Consulting Partner","Work.com",,"Manufacturing","10001+ ","AMER",,"Medium"
IDU861HS6,V7ZEI5DL1EKGCZYYHZRQWH3JQ2UNDHIAJ2U9C59JJEWQ0V78G38UKR45EN7K7NZBOLWKZLMCRLT3H4KZL83IDTJKB1OBL,"Add-On Business","AE",,"(06) $250K - $500K","Salesforce AE","N","No Partner","AMER","Consulting Partner","Work.com",,"Travel, Transportation, & Hospitality","10001+ ","AMER","Professional Customer","Small"
N4FDTN1UNL3,9L9JCQ0KGPNOQRRRRVIMB6YRWLL13B,"New Business","ECS",,"(01) <=$25K",,"N",,,,"Work.com",,"Engineering, Construction, & Real Estate","46-200","AMER","Enterprise Customer","Very Small"
P96NNU5596Y,QWJNFU199PCN3R7C4ONXBXQ2R3MML5FG8I04UX9L0AW2YDRJT87X1RLQGXNNY5XK0XDSPO4FONWP9OFWZ94ITOLCW54TW1PW5HH4TN1KDC6GP6WRPSWB8FN8,"Add-On Business","AE",70,"(01) <=$25K","Salesforce AE","N",,,,"Work.com","Work.com","High Tech","201-500","AMER","Performance Edition","Large"
9UQ6R22E3F0,A39TIOITJCTXU0D5740HXD32ROYLUC80JSU3C6JZRRB9BYNZR8XIFEGJR998CYJES7VNVTD3X64RW31LVOTC6078XEG0O6JI32OB9W8W,"Add-On Business","BDR",,"(05) $150K - $250K",,"N","Joint Sales","AMER","Consulting Partner","Work.com",,"Communications & Media","5001-10000","AMER",,"Top"
50,2X6UE682H466MMHGC83X180BN6UM5F1KZFU1YK01L9J1SM7DQ2183TXOAP41V4ZLN4M,"New Business","AE",,"(06) $250K - $500K",,"N","No Partner","AMER","Consulting Partner","Work.com",,"Healthcare & Life Sciences","10001+ ","AMER","Unlimited Customer","Flagship"
9A,P3RXA4N9ZODJO8,"New Business","SDR",2018,"(01) <=$25K","External Websites","N",,,,,"Work.com","Engineering, Construction, & Real Estate","1-20",,,
B,21S4QGVW1B5ZRG0LZOA64,"New Business","BDR",,"(01) <=$25K",,"N","Joint Sales","AMER","Consulting Partner;GSI;CRM Reseller;ISVforce;GPA","Work.com",,"Communications & Media","10001+ ","AMER","Unlimited Customer","Mega"
LIREKY,5CUQWJGHLB0Z3GNJ4UJPXAN50I98FDZXIDZXQ3MX9ZYIJCBZCBI13CWHNLNWVQPC7ON9L60BNIZUYSMSM,"New Business","BDR",119,"(05) $150K - $250K",,"N",,,,"Work.com",,"High Tech","10001+ ","AMER",,
